Название,Жанр,Режиссер,Страна,Год,qw
Румбурак (фильм),фэнтези комедия семейный,Вацлав Ворличек,Чехословакия,1985,1
"Рукопись, найденная в Сарагосе (фильм)","драматический фильм, экранизация литературного произведения",Войцех Ежи Хас,Польша,1965,1
Руковожу здесь я,комедия,Мечислав Кравич,Польша,1939,1
Руководство по сексу на втором свидании,"мелодрама, комедия",Рэйчел Хиронс,Великобритания,2019,1
Руководство для женатого мужчины,"комедия, -, фарс",Джин Келли,США,1967,1
Руки прочь от котиков! Охота на интернет-убийцу,документальный,Марк Льюис,США,2019,1
Руки над городом,"драма, исторический",Франческо Рози,"Италия, Франция",1963,1
Руки Орлака,"Ужасы, Фантастика",Роберт Вине,Австрия,1924,1
"Руки вверх, или я стреляю (фильм)","комедия, приключенческий фильм",ГансИоахим Каспрцик,ГДР,2009,1
Руки вверх! (фильм),комедия детский фантастика сказка,Владимир Грамматиков,СССР,1981,1
Руководство для домработниц,драма,Педро Альмодовар,Испания,TBA,2
Руки-ноги за любовь,"чёрная комедия, триллер",Джон Лэндис,Великобритания,2010,1
"Рука, качающая колыбель","триллер, драма",Кёртис Хэнсон,США,1992,1
Рука на миллион,спортивная драма,Крейг Гиллеспи,США,2014,1
Рука-убийца,"фильм ужасов, комедия",Родмен Флендер,США,1999,1
Рука смерти,боевик,Джон Ву,Гонконг,1975,1
Рука напрокат,драматический фильм,Питер Фонда,США,1971,1
"Руки Орлака (фильм, 1960)","фильм ужасов, научнофантастический фильм, криминальный фильм, экранизация романа",Гревиль Эдмон Т.,"Франция, Великобритания","1960, 1961",1
Рука Бога (фильм),драматический фильм,Паоло Соррентино,Италия,2021,1
Руины стреляют…,"военный, исторический",Виталий Четвериков,СССР,1970—1972,1
Рука (фильм),"ужасы, триллер",Оливер Стоун,США,1981,2
Рудольфио,драма,Динара Асанова,СССР,1969,1
Руины (фильм),Фильм ужасов,Картер Смит,"Австралия, США, Германия",4 апреля 2008,1
"Рука дьявола (фильм, 2014)","триллер, ужасы",Кристиан Е. Кристиансен,США,2014,1
Рука мумии,"Ужасы, Фантастика",Кристи Кэбэнн,США,1940,1
Рудо и Курси,комедийный фильм,Карлос Куарон,Мексика,2008,1
Рудин (фильм),мелодрама,Константин Воинов,СССР,1977,1
Руд и Сэм,комедия,Григор Гярдушян,Россия,2007,1
Ругантино (фильм),"комедия, драма",Паскуале Феста Кампаниле,Италия,1973,1
"Рубляк, или Легенда об измеренной стране",,Конрад Херрман,ГДР,1984,1
Рубикон (фильм),Агитпропфильм,Владимир Вайншток,СССР,1930,1
"Рубикон (фильм, 2022)",Научнофантастический фильм,Магдалена Лаурич,Австрия,2022,1
Руби Спаркс,трагикомедия,"Валери Фарис, Джонатан Дэйтон",США,"2012, 29 ноября, 2012",1
Рубеж мира,"Научная фантастика, приключенческий фильм",Макджи,США,2019,1
"Рубеж (фильм, 2018)","фантастика, приключенческий, военный, исторический, драма",Дмитрий Тюрин,Россия,2018,1
Рубин Каира,триллер,Грэм Клиффорд,"США, Германия, Япония",1992,1
Рубильник (фильм),"научная фантастика, боевик",Тим Смит,"США, Нидерланды",2017,1
Руанская дева по прозвищу Пышка,музыкальный фильм,"Евгений Гинзбург, Рауф Мамедов",СССР,1989,1
Роялистка,исторический фильм,Эрик Ромер,"Франция, Германия",2001,1
Роузленд (фильм),драма,Джеймс Айвори,США,1977,1
Роуз Хилл (фильм),"вестерн, экранизация романа",Кристофер Кейн,США,1997,1
Ответный ход Бульдога Драммонда,"Детектив, Комедия",Рой Дель Рут,США,1934,1
Ответный ход,боевик,Михаил Туманишвили,СССР,1981,1
"Ответный удар (фильм, 1957)",детектив,Дени де Ла Пательер,"Франция, Италия",1957,1
Ротвейлер (фильм),"Триллер, Фильм ужасов",Брайан Юзна,"Великобритания, Испания",2004,1
Рота Беверли-Хиллз,комедия,Джеф Кэнью,США,1989,1
Рот на замок!,"комедия, криминал, семейный","Крэйг Шапиро, англ.), рус.","США, Австралия",2000,1
"Ответный огонь (фильм, 1950)",нуар,Винсент Шерман,США,1950,1
Ответная мера,"исторический, драма, Биография",Вадим Костроменко,СССР,1974,1
"Ответный удар (фильм, 1947)",Фильм нуар,Юджин Форд,США,1947,1
"Ответный огонь (фильм, 1988)",триллер,Гилберт Кейтс,"США, Канада",1988,1
"Отверженные (фильм, 2019)","криминальная, драма",Ладж Ли,Франция,2019,1
"Отверженные (фильм, 1998)","детективный фильм, драма, исторический фильм, мелодрама",Билле Аугуст,"Великобритания, Германия, США",1998,1
"Отверженные (фильм, 1948)","драматический фильм, экранизация романа",Риккардо Фреда,Италия,1948,2
"Отверженные (фильм, 1995)",драма,Клод Лелуш,Франция,1995,1
"Отверженные (фильм, 1982)",драма,Робер Оссейн,"Франция, ФРГ",1982,1
"Отверженные (фильм, 2012)","мюзикл, историческая драма",Том Хупер,Великобритания,2012,1
"Отверженные (фильм, 1958)",драма,ЖанПоль ле Шануа,"ГДР, Франция, Италия",1958,1
"Отверженные (фильм, 1913)","драма, исторический",Альбер Капеллани,Франция,1913,1
"Отверженные (фильм, 1917)","романтический фильм, немое кино, экранизация романа, драматический фильм",Фрэнком Ллойдом,США,1917,1
"Отверженные (мини-сериал, 2000)",драма,Жозе Дайан,"Франция, Италия, Испания, Германия, США","4 сентября, 2000",1
"Отверженные (мини-сериал, 1972)",драма,Марсель Блюваль,Франция,"21 сентября, 1972",1
Рудобельская республика (фильм),историкореволюционный,Н. А. Калинин,СССР,1971,1
"Отверженные (фильм, 1934)",драма,Раймон Бернар,Франция,1934,1
Отвези меня домой,комедия,Майкл Даус,США,2011,2
Отвергнутая женщина,"драма, немое кино",Альберт Паркер,США,1924,1
Отвали!,комедия,Майкл Ритчи,США,1994,1
Отважный Ширак,Приключенческий фильм,Мукадас Махмудов,СССР,"22 июля, 1977",1
Отважный самурай,боевик,Акира Куросава,Япония,1962,1
Отважный Ю,комедия,Арилд Андресен,Норвегия,,1
"Отважный (фильм, 2013)","боевик, комедия",Саджид Хан,Индия,2013,1
"Отважные (фильм, 2011)",драма,Алекс Кендрик,США,2011,1
"Отбросы (фильм, 2024)",,Дито Монтьель,США,,2
Отважная (фильм),"криминальный фильм, драма, триллер",Нил Джордан,"США, Австралия",2007,1
"Отважные капитаны (фильм, 1937)",приключения,Виктор Флеминг,США,1937,1
"Отважный (фильм, 1956)",мелодрама,Ирвинг Раппер,США,1956,1
"Отбой (фильм, 1981)",драма,Харольд Беккер,США,1981,1
"Отбой (фильм, 2000)",Трагикомедия,Дайан Китон,США,2000,1
"Отбросы (фильм, 2011)",драма,Тиндж Кришнан,Великобритания,2011,1
Отблеск в воде,драма,Андрис Розенбергс,СССР,1977,1
Отбивные (фильм),"драма, комедия",Бертран Блие,Франция,2003,1
"От Хильды, с любовью",,Андреас Дрезен,Германия,2024,2
От снега до снега,,Юрий Петров,СССР,1968,1
"От яслей до креста, или Иисус из Назарета",драматический фильм,Сидни Олкотт,США,1912,1
От сердца к сердцу,Фильмдрама,Миёдзи Иэки,Япония,1955,1
От семьи не убежишь,комедия,Дани Бун,Франция,2018,1
Отарова вдова,драма,Михаил Чиаурели,СССР,1957,1
От семи до двенадцати,"художественный, детский",Хасан Бакаев,СССР,1965,1
От семи лет и выше,гангстерский фильм,"Филип Д’Антони, англ.), рус.",США,1973,1
От колыбели до могилы,"боевик, фильм с боевыми искусствами, триллер, криминальный фильм, комедия",Анджей Бартковяк,США,2003,1
От начала до конца,драма,Алуизиу Абраншис,Бразилия,2009,1
От рассвета до заката,"комедия, ужасы",Диего Халливис,США,2022,1
От Ледвилла до Аспена: Налёт в Скалистых горах,вестерн,"Уоллес Маккатчен, Френсис Дж. Мэрион",США,1906,1
От имени всех своих,драма,Робер Энрико,"Франция, Канада, Венгрия",1983,1
От зимы до зимы,драма,Олег Никитин,СССР,1981,2
От звонка до звонка,"драма, криминальный",Дэвид Маккензи,Великобритания,2013,1
От зари до зари,драма,Гавриил Егиазаров,СССР,1975,1
От заката до рассвета 3: Дочь палача,"ужасы, боевик",П. Дж. Пеши,США,1999,1
От заката до рассвета 2: Кровавые деньги из Техаса,"фильм ужасов, криминал",Скотт Шпигель,США,1999,1
Отважный и смелый,супергеройский фильм,Энди Мускетти,США,,2
От Буга до Вислы,"драма, военный фильм",Тимофей Левчук,СССР,1980,1
От Арарата до Сиона,документальный исторический,Эдгар Багдасарян,"Армения, Египет, Израиль, Турция",2009,1
От 180 и выше,комедия,Александр Стриженов,Россия,2005,1
От заката до рассвета,"ужасы, криминальный фильм, боевик, триллер",Роберт Родригес,США,1996,1
Осьминожки со второго этажа,"детский, комедия",Индржих Полак,"Чехословакия, ФРГ",1986,1
От всего сердца,драма,Фрэнсис Форд Коппола,США,1982,1
"Осуждённый (фильм, 1950)","Фильм нуар, Тюремная драма",Генри Левин,США,1950,1
Осуждение Дж. Роберта Оппенгеймера,докудрама,"Дэвид Грубин, англ.), рус.",США,2008,1
Осуждение (фильм),"драма, Эротика",Марко Беллоккьо,"Италия, Франция, Швейцария",1991,1
Осьминожка,"боевик, приключенческий фильм, триллер",Джон Глен,"Великобритания, США",1983,1
Острота ощущений (фильм),"триллер, драма",Ив Симоно,США,,1
Остров юности (фильм),молодёжный фильм,Борис Шиленко,СССР,1976,1
Островной президент,документальный фильм,Джон Шенк,США,2011,1
Острые ощущения,"триллер, драма",Брайан Грант,США,1994,1
Острый перец (фильм),"боевик, комедия","Коратала Шива, англ.), рус.",Индия,2013,1
Острые козырьки (фильм),"драма, криминал",Стивен Найт,Великобритания,,1
"Осьминог (фильм, 2023)","психологическая драма, триллер",Алексей Степанов,Россия,2023,2
Остров Франкенштейна,"научнофантастический, фильм ужасов",Джерри Уоррен,США,1981,1
Остров фантазий (фильм),фильм ужасов о сверхъестественном,Джефф Уодлоу,США,2020,1
"Остров фантазий (телесериал, 1998)","фантастика, комедия, драма","Перри Лэнг, Деран Сарафян, Рик Уоллес, Майкл Диннер, Гилберт Адлер, Стивен Крегг, Дэвид Хью Джонс, Рик Розентал, Рэндолл Зиск",США,26 сентября 1998 — 23 января 1999,1
"Остров чудовищ (фильм, 1979)","фильм ужасов, фантастика, фэнтези, приключенческий фильм, боевик",Серджио Мартино,Италия,1979,1
"Остров сокровищ (фильм, 1999)",приключения,Питер Роу,США,1999,1
"Остров сокровищ (фильм, 1982)",Приключения,Владимир Воробьёв,СССР,,1
"Остров сокровищ (фильм, 1990)",приключенческий фильм,Фрейзер Кларк Хестон,"Великобритания, США","22 января, 1990",1
Остров Уэйк (фильм),"пропагандистский фильм, боевик, военный фильм",Джон Фэрроу,США,1942,1
Остров Тани,"драма, фэнтези, эротика",Альфред Соул,Канада,1980,1
"Остров страха (фильм, 2001)","триллер, фильм ужасов",Роберт Зигль,Германия,2001,1
"Остров сокровищ (фильм, 1937)",приключения,Владимир Вайншток,СССР,1937,1
"Остров сокровищ (фильм, 1920)",приключенческий фильм,Морис Турнёр,США,"26 марта, 1920, 19 марта, 1921, 12 апреля, 1921, 11 мая, 1921, 20 июня, 1921",1
"Остров сокровищ (фильм, 1934)",приключения,Виктор Флеминг,США,1934,1
"Остров сокровищ (фильм, 1971)",Приключения,Евгений Фридман,СССР,1971,1
Остров раптора,"боевик, фантастика, Фильм ужасов",Стенли Айзекс,США,2004,1
"Остров потерянных душ (фильм, 1932)","фильм ужасов, научнофантастический фильм, фильм о монстрах, экранизация романа",Эрл Кентон,США,1932,1
Остров проклятых,"психологический триллер, детектив, драма",Мартин Скорсезе,США,2010,1
Остров Сахалин (фильм),документальное кино,"Эльдар Рязанов, Василий Катанян",СССР,1954,1
Остров сокровищ (мини-сериал),приключенческий фильм,Стив Бэррон,"Великобритания, Ирландия",2012,2
Остров ржавого генерала,"фантастика, приключения, детский фильм",Валентин Ховенко,СССР,1988,1
Остров сокровищ маппетов,"мюзикл, комедия, приключения, семейный фильм",Брайан Хенсон,США,"16 февраля, 1996",1
Остров Паскали,драматический фильм,Джеймс Дирден,Великобритания,"1988, 11 августа, 1988",1
Остров огня,"боевик, криминальный фильм, драма",Чжу Яньпин,Китайская Республика,1990,1
Остров Ним,"Приключения, комедия","Дженифер Флэккетт, Марк Левин",США,2008,1
Остров погибших кораблей (фильм),музыкальный фильм,"Евгений Гинзбург, Рауф Мамедов",СССР,1987,1
"Остров надежды (фильм, 2002)","драма, приключенческий фильм",Чарльз Бисон,США,2002,1
"Остров мёртвых (фильм, 1992)","авторская киномонография, монтажный фильм, фильмфантазия",Олег Ковалов,Россия,1992,1
"Остров мёртвых (фильм, 1945)",фильм ужасов,Марк Робсон,США,"1945, 1 сентября, 1945",1
Остров изгоев,"драматический фильм, фильмтриллер, приключенческий фильм, романтический фильм, фильм про выживание",Тома Бидеген,"Франция, Бельгия, Исландия, США","27 ноября, 2023, 6 декабря, 2023, 15 декабря, 2023, 21 декабря, 2023, 28 декабря, 2023",1
Остров динозавров,"приключенческий фильм, комедия, фэнтези","Фред Олен Рэй, Джим Уайнорски",США,1994,1
Остров Гокумон,кинодетектив,Кон Итикава,Япония,1977,1
"Остров доктора Моро (фильм, 1996)","фантастика, триллер","Джон Франкенхаймер, Ричард Стэнли",США,1996,1
"Остров доктора Моро (фильм, 1977)",фантастика,Дон Тейлор,США,1977,1
Остров головорезов,"приключенческий, фильм плаща  шпаги",Ренни Харлин,"США, Франция",1995,1
Остров Колдун (фильм),"драма, приключенческий фильм, детский фильм",Татьяна Лукашевич,СССР,1964,1
"Остров в небе (фильм, 1953)","приключения, драма",Уильям Уэллман,США,1953,1
Остров Бергмана,драматический фильм,Миа ХансенЛёве,"Франция, Мексика, Бразилия, Германия, Швеция, Бельгия, Великобритания",2021,1
Остров Безымянный,приключенческий фильм,"Адольф Бергункер, Михаил Егоров",СССР,1946,1
"Остров (фильм, 2006)",драма,Павел Лунгин,Россия,2006,1
"Остров (фильм, 2005)","фантастика, антиутопия, экшн",Майкл Бэй,США,2005,1
Остров везения,"комедия, приключения",Кирилл Козлов,Россия,2013,1
"Остров (фильм, 2000)",драма,Ким Ки Дук,Республика Корея,2000,1
Остриё копья,драма,Джим Хэнон,США,2006,1
"Остриё бритвы (фильм, 1946)",драма,Эдмунд Гулдинг,США,1946,1
Осторожно! Бандиты!,"военная, драма",Карло Лидзани,Италия,1951,1
"Осторожно, перестройка","комедия, эротика",Кастеллано  Пиполо,Италия,1990,1
"Осторожно, спойлеры!",биографический фильм,Майкл Шоуолтер,США,"2 декабря, 2022",1
"Осторожно, заложник!",комедия,Тед Демме,США,1994,1
"Остров (фильм, 1980)",приключения,Майкл Ритчи,США,1980,1
"Осторожно, двери закрываются","комедия, драма, мелодрама, фэнтези",Питер Хауитт,"Великобритания, США",1998,1
"Осторожно, бабушка!",комедия,Надежда Кошеверова,СССР,1960,1
Осторожнее с желаниями,эротический триллер,Элизабет Аллен Розенбаум,США,2015,1
"Осторожней, моя милая","нуар, Психологический триллер",Гарри Хорнер,США,1952,1
Остин Пауэрс: Человек-загадка международного масштаба,комедия,Джей Роуч,США,1997,1
"Остин Пауэрс: Шпион, который меня соблазнил","комедия, пародия, боевик, приключенческий фильм",Джей Роуч,США,1999,1
Остин Пауэрс: Голдмембер,комедия,Джей Роуч,США,2002,1
Остаться в живых 2: Воскрешение,Слэшер,Матс Штенберг,Норвегия,2008,1
"Остаться в живых (фильм, 1983)","драма, музыкальный фильм",Сильвестр Сталлоне,США,1983,1
Остаток дня (фильм),мелодрама,Джеймс Айвори,"Великобритания, США",1993,1
"Остаться в живых (фильм, 2006, США)",фильм ужасов,Уильям Брент Белл,США,2006,1
"Остаться в живых (фильм, 2006, Норвегия)",Слэшер,Роар Утхауг,Норвегия,2006,1
Остаюсь с вами,драма,Игорь Вознесенский,СССР,1981,1
Остап Бандура,революционная драма приключенческая мелодрама,Владимир Гардин,СССР,1924,1
Остерегайтесь жалости,драма экранизация,Морис Элви,Великобритания,1946,1
Останься со мной,"комедийная драма, история взросления",Роб Райнер,США,1986,1
Останься,"психологический триллер, драма, детектив",Марк Форстер,США,2005,1
Остановка на перегоне,драма,Андреас Дрезен,Германия,2011,1
"Остановка (фильм, 2006)","фильм ужасов, триллер",Джон Шибан,США,2006,1
"Остановка (фильм, 2007)",Драма,Мелани МакГро,США,2007,1
Остановите Потапова!,"мелодрама, комедия",Вадим Абдрашитов,СССР,1974,1
Останавливающие время,"научная фантастика, приключенческий фильм",Джонатан Фрейкс,США,2002,1
Остальное — молчание (фильм),"драма, комедия",Нае Каранфил,Румыния,2007,1
"Оставшийся в живых (фильм, 2008)",детектив,Серджиу Николаеску,Румыния,2008,1
Оставленный багаж,драма,Йерун Краббе,"США, Великобритания, Нидерланды, Бельгия",1998,1
Оставь мир позади,постапокалипсис,Сэм Эсмэйл,США,2023,1
Остановился поезд,драма,Вадим Абдрашитов,СССР,1982,1
"Оставленные (фильм, 2023)",комедийная драма,Александр Пэйн,США,2023,1
Оставленные,"драма, триллер, фантастика, боевик",Вик Армстронг,США,2014,1
Оставить след,,Герман Лавров,СССР,1982,1
Оставайся голодным,"приключения, драма",Боб Рейфелсон,США,1976,1
Оставайтесь с нами,"комедия, детектив, приключения",Питер Хайамс,США,1992,2
Особь: Пробуждение,"фильм ужасов, фантастический фильм",Ник Лайон,США,2007,1
Остановившаяся жизнь,драма,Уберто Пазолини,"Великобритания, Италия",2013,2
Особь (фильм),"фантастика, фильм ужасов",Роджер Дональдсон,США,1995,1
Особь (серия фильмов),,,США,19952007,1
Особый лагерь: Революция инвалидности,документальный фильм,"James LeBrecht, Николь Ньюнэм",США,2020,1
Особых примет нет,"фильмбиография, триллер, исторический экранизация",Анатолий Бобровский,"СССР, ПНР",1978,1
Особый парень: Тупой супергерой,"супергеройский фильм, Комедийная драма, Психологический триллер, Сатира, Научная фантастика","Хэл Хаберман, Джереми Пассмор",США,"17 ноября, 2006, Великобритания), 21 ноября, 2008, США)",1
Особь 3,"фильм ужасов, фантастический фильм",Брэд Тёрнер,США,2004,1
Особь 2,"фильм ужасов, фантастический фильм",Питер Медак,США,1998,1
"Особое мнение (фильм, 2002)","научная фантастика, боевик, триллер, криминал, детектив",Стивен Спилберг,США,2002,1
"Особое мнение (фильм, 1967)","детектив, драма, военный",Виктор Жилин,СССР,1967,1
Особо тяжкие преступления (фильм),"триллер, драма",Карл Франклин,США,2002,1
Особые приметы: Неотразимый красавчик,"кинокомедия, эротика",Кастеллано  Пиполо,Италия,1983,1
Особо опасные…,детектив,Суламбек Мамилов,СССР,1979,1
Особо опасный преступник (фильм),"боевик, фильмтриллер",Дэвид Хоган,США,1997,1
"Особо опасен (фильм, 2009)",боевик,Прабху Дева,Индия,2009,1
"Особо опасен (фильм, 2008)","боевик, триллер",Тимур Бекмамбетов,"США, Россия, Германия",2008,1
Особо опасна,"боевик, приключения, комедия",Кайл Ньюман,США,2015,1
Особо важное задание,"военный фильм, драма",Евгений Матвеев,СССР,1980,1
Особо опасны,"детективный фильм, триллер, драма, боевик",Оливер Стоун,США,2012,1
"Особняк с привидениями (фильм, 2003)","комедия, семейный фильм, фэнтези, триллер",Роб Минкофф,США,2003,1
Особняк на Зелёной,детектив,Ян Баторы,Польша,1963,1
"Особняк с привидениями (фильм, 2023)","комедийный фильм ужасов, о сверхъестественном",Джастин Симиен,США,2023,1
Особенности национальной политики,комедия,"Дмитрий Месхиев, Юрий Конопкин",Россия,2003,1
Особенности русской бани,"эротика, комедия",Алексей Рудаков,Россия,1999,1
Особенности национальной охоты,комедия,Александр Рогожкин,Россия,1995,1
"Особенности национальной подлёдной ловли, или Отрыв по полной",комедия,Станислав Мареев,Россия,2007,1
Основные цвета (фильм),"комедия, драма",Майк Николс,"США, Великобритания, Германия, Франция, Япония, Португалия, Люксембург",1998,1
Особенности национальной рыбалки,комедия,Александр Рогожкин,Россия,1998,1
Основные принципы добра,"драма, комедия",Роб Бёрнетт,США,2016,1
Особенная дружба (фильм),драма,Жан Деланнуа,Франция,1964,1
Основание армии (2017),военный фильм,Эндрю Лю,Китай,"28 июля, 2017",1
Основатель (фильм),"драма, фильмбиография",Джон Ли Хэнкок,,2016,1
Особенные,драма,"Оливье Накаш, Эрик Толедано","Франция, Бельгия",2019,1
Осло (фильм),,Бартлетт Шер,США,2021,1
Основной инстинкт 2,эротический триллер,Майкл КейтонДжонс,"Великобритания, Германия, США, Испания","30 марта, 2006",1
"Осло, 31-го августа",драматриллер,Йоаким Триер,Норвегия,2011,1
Основной инстинкт (фильм),"Эротический триллер, детектив, неонуар",Пол Верховен,США,1992,1
"Основано на реальных событиях (фильм, 2017)","драма, психологический триллер",Роман Полански,"Франция, Бельгия",2017,1
"Ослеплённый желаниями (фильм, 2000)","фантастическая, комедия",Гарольд Рамис,США,2000,1
Старший Фершо,драма,ЖанПьер Мельвиль,"Франция, Италия",1963,1
Старшина (фильм),военный,Николай Кошелев,СССР,1979,1
Старше на 10 минут,документальный,Герц Франк,СССР,1978,1
Старший брат Чэн,"боевик, криминальный фильм, драма",Куай Чихун,Гонконг,1975,1
Осмосис Джонс,комедия,"Бобби Фаррелли, Питер Фаррелли",США,2001,2
"Старший сын (фильм, 2006)",Трагикомедия,Марюс Вайсберг,США,2006,1
Старухи (фильм),драма,Геннадий Сидоров,Россия,2003,1
"Старуха (фильм, 2014)",лирическая кинокомедия,Ермек Турсунов,Казахстан,2014,1
Старшая сестра (фильм),мелодрама,Георгий Натансон,СССР,1966,1
Старший сын (фильм),"психологическая, драма",Виталий Мельников,СССР,"20 мая, 1976",1
"Ослиная шкура (фильм, 1982)",фильмсказка,Надежда Кошеверова,СССР,1982,1
Стартап (фильм),"биография, драма","Роман Каримов, Игорь Сколков), Евгений Ткачук",,2014,1
Старт номер сто,документальный,Алексей Китайцев,Россия,2008,1
Особенности национальной охоты в зимний период,комедия,Александр Рогожкин,Россия,2000,1
Стартрек: Бесконечность,"боевик, приключенческий фильм, научная фантастика",Джастин Лин,США,2016,1
Старомодная комедия (фильм),мелодрама,"Эра Савельева, Татьяна Березанцева",СССР,1978,1
Старожил (фильм),,Искандер Хамраев,СССР,1961,1
Старое ружьё,"драма, триллер, военный фильм",Робер Энрико,"Франция, Германия","22 августа, 1975, 31 октября, 1975, 6 ноября, 1975, 6 ноября, 1975, 13 марта, 1976, 7 мая, 1976, 10 мая, 1976, 29 июня, 1976, 2 августа, 1976, 24 сентября, 1976, 5 ноября, 1976, 20 декабря, 1976, 17 января, 1977, 1 февраля, 1977, май, 1978, 29 июня, 1978",1
Старое и новое,драма,"Сергей Эйзенштейн, Григорий Александров",СССР,1929,2
Старики на уборке хмеля,"музыкальный фильм, драма, комедия",Ладислав Рихман,Чехословакия,1964,1
Старикан,комедийный боевик,Саймон Уэст,США,,2
Старики-разбойники,трагикомедия,Эльдар Рязанов,СССР,1971,1
Старикам тут не место (фильм),"драма, криминал, триллер",Джоэл  Итан Коэн,США,2007,1
"Старик, читавший любовные романы (фильм)",Драма,Рольф де Хир,"Франция, Нидерланды, Испания, Австралия",2001,1
Стартрек: Возмездие,"научнофантастический экшн, научнофантастический фильм, приключенческий фильм, боевик",Дж. Дж. Абрамс,США,2013,1
Старик Хоттабыч (фильм),сказка,Геннадий Казанский,СССР,1956,1
Старое танго,"фильмбалет, музыкальный фильм, комедия","Александр Белинский, Дмитрий Брянцев",СССР,1979,1
Старец Василий Грязнов,,Чеслав Сабинский,СССР,1924,1
Старик и море (фильм),драма,Джон Стерджес,США,1958,1
"Старик и ребёнок (фильм, 1967)",драма,Клод Берри,Франция,1967,1
Старгёрл (фильм),"Романтическая, драма",Джулия Харт,США,"13 марта, 2020, США)",1
"Старая, старая сказка","сказка, трагикомедия",Надежда Кошеверова,СССР,"сентябрь, 1968",1
Старик с пистолетом,"драма, комедия, криминал",Дэвид Лоури,США,2018,1
Старая столица,фильмдрама,Нобору Накамура,Япония,1963,1
Старая новая Росси,драма,Александр Караваев,Россия,2008,1
Старинный водевиль,романтическая музыкальная комедия,Игорь Савченко,СССР,1946,1
"Старая крепость (фильм, 1973)","Приключенческий фильм, экранизация","Михаил Беликов, Александр Муратов",СССР,1973—1976,1
Старая черешня,"детский фильм, драма, короткометражный фильм",Тофик Исмайлов,"СССР, Азербайджанская ССР",1972,1
Старая гвардия (фильм),драма,Сергей Герасимов,СССР,1941,1
Старая добрая оргия,комедия,"Алекс Грегори, Питер Хайк",США,2011,1
Старая закалка,комедия,Тодд Филлипс,США,2003,1
Старая добрая Фреда,документальный,Райан Уайт,США,2013,1
Станция Юнион (фильм),"нуар, Триллер",Рудольф Мате,США,1950,1
Старая каналья,"комедия, детектив",Жерар Журдуи,Франция,1992,1
Станция «Фрутвейл»,"фильмбиография, драма",Райан Куглер,США,2013,1
"Станционный смотритель (фильм, 2003)",комедиядрама,Том Маккарти,США,2003,1
"Станционный смотритель (фильм, 1972)",драма,Сергей Соловьёв,СССР,,1
Стан Хельсинг,"комедия, ужасы, чёрная комедия",Бо Зенга,"Канада, США",2009,1
Стамбул (фильм),"мелодрама, приключения",Джозеф Певни,США,1957,1
Станция любви,мелодрама,Талгат Теменов,Казахстан,1993 год,1
Станица Дальняя,комедия,Евгений Червяков,СССР,1939,1
"Станционный смотритель (фильм, 1918)",Драма,Александр Ивановский,Российская Империя,,1
Стальные магнолии,"мелодрама, комедия",Герберт Росс,США,1989,1
Стальные когти,"боевик, комедия",Вон Чин,Гонконг,1993,1
"Стальные магнолии (фильм, 2012)","Комедия, —, драма",Кенни Леон,США,,2
"Старая гвардия (фильм, 1935)","драма, пропагандистский, фильм",Алессандро Блазетти,Италия,1934,1
Стандер,"Биография, Боевик, Драма, Детектив",Бронуэн Хьюз,"Канада, Германия, ЮАР, Великобритания",2003,1
Стальной кулак,боевик,Мэттью Джордж,Австралия,1995,1
Стальной город (фильм),"Производственная драма, Мелодрама, Фильм нуар",Джордж Шерман,США,1952,1
Стальная ловушка,"Фильм нуар, Триллер",Эндрю Л. Стоун,США,1952,1
Стальная хватка,"драматический фильм, биографический фильм, спортивный фильм",Шон Дуркин,"США, Великобритания","2023, 21 марта, 2024",1
Стальная бабочка,"детектив, драма, криминал, триллер",Ренат Давлетьяров,,2012,1
Стальной рассвет,постапокалиптика,Лэнс Хул,США,1987,1
"Сталинград (фильм, 1989)","киноэпопея, драма, военно, -, исторический фильм",Юрий Озеров,"СССР, США, ЧССР, ГДР","1989, в прокате — февраль 1990)",1
Сталинградская битва (фильм),"киноэпопея, военный фильм",Владимир Петров,СССР,1949,1
"Сталинград (фильм, 1993)","военная, драма",Йозеф Фильсмайер,"Германия, Чехия",1993,1
"Сталинград (фильм, 1943)",документальный фильм,Леонид Варламов,СССР,1943,1
"Сталинград (фильм, 2013)",военная драма,Фёдор Бондарчук,Россия,2013,1
Стакан воды (фильм),"комедия, исторический фильм, мелодрама",Юлий Карасик,СССР,1979,1
"Стакан воды (фильм, 1923)","комедия, исторический фильм, мелодрама, экранизация",Людвиг Бергер,,1923,1
Сталкер (фильм),"фантастика, драма",Андрей Тарковский,СССР,"25 мая, 1979, 1979",1
Ставка на мёртвого жокея,Фильм нуар,Ричард Торп,США,1957,1
Ставки на завтра,нуар,Роберт Уайз,США,1959,1
"Стажёр (фильм, 2015)",комедийная драма,Нэнси Мейерс,США,2015,1
"Стакан воды (фильм, 1957)","исторический фильм, комедийный фильм",УсольцевГарф Александр Георгиевич,СССР,1957,1
Стависки (фильм),драма,Ален Рене,"Франция, Италия",1974,1
Ставки сделаны,"Криминальная, комедия, триллер",Клод Шаброль,"Франция, Швейцария",1997,1
Сталин (фильм),"фильмбиография, драма",Иван Пассер,"США, Россия, Венгрия",,1
"Сталь (фильм, 1997)","супергеройский фильм, боевик, научная фантастика",Кеннет Джонсон,США,1997,1
Ссора в Лукашах,комедия,Максим Руф,СССР,1959,1
